Date,Open,High,Low,Close,Adjusted_close,Volume
2024-01-03,184.22,185.88,183.43,184.25,184.0152,58414500
2024-01-04,182.15,183.09,180.88,181.91,181.6782,71983600
2024-01-05,181.99,182.76,180.17,181.18,180.9491,62303300
2024-01-08,182.09,185.6,181.5,185.56,185.3235,59144500
2024-01-09,183.92,185.15,182.73,185.14,184.9041,42841800
2024-01-10,184.35,186.4,183.92,186.19,185.9527,46792900
2024-01-11,186.54,187.05,183.62,185.59,185.3535,49128400
2024-01-12,186.06,186.74,185.19,185.92,185.6831,40444700
2024-01-16,182.16,184.26,180.93,183.63,183.396,65603000
2024-01-17,181.27,182.93,180.3,182.68,182.4472,47317400
2024-01-18,186.09,189.14,185.83,188.63,188.3896,78005800
2024-01-19,189.33,191.95,188.82,191.56,191.3159,68741000
2024-01-22,192.3,195.33,192.26,193.89,193.6429,60133900
2024-01-23,195.02,195.75,193.83,195.18,194.9313,42355600
2024-01-24,195.42,196.38,194.34,194.5,194.2521,53631300
2024-01-25,195.22,196.27,193.11,194.17,193.9225,54822100
2024-01-26,194.27,194.76,191.94,192.42,192.1748,44594000
2024-01-29,192.01,192.2,189.58,191.73,191.4857,47145600
2024-01-30,190.94,191.8,187.47,188.04,187.8004,55859400
2024-01-31,187.04,187.1,184.35,184.4,184.165,55467800
2024-02-01,183.99,186.95,183.82,186.86,186.6219,64885400
2024-02-02,179.86,187.33,179.25,185.85,185.6131,102518000
2024-02-05,188.15,189.25,185.84,187.68,187.4408,69668812
2024-02-06,186.86,189.31,186.7695,189.3,189.0588,43490762
2024-02-07,190.64,191.05,188.61,189.41,189.1686,53438961
2024-02-08,189.385,189.535,187.35,188.32,188.08,40962047
2024-02-09,188.65,189.99,188,188.85,188.85,45155200
2024-02-12,188.42,188.67,186.79,187.15,187.15,41781900
2024-02-13,185.77,186.21,183.51,185.04,185.04,56529500
2024-02-14,185.32,185.53,182.44,184.15,184.15,54630500
2024-02-15,183.55,184.49,181.35,183.86,183.86,65434500
2024-02-16,183.42,184.85,181.67,182.31,182.31,49701400
2024-02-20,181.79,182.43,180,181.56,181.56,53665600
2024-02-21,181.94,182.89,180.66,182.32,182.32,41529700
2024-02-22,183.48,184.96,182.46,184.37,184.37,52292200
2024-02-23,185.01,185.04,182.23,182.52,182.52,45074500
2024-02-26,182.24,182.76,180.65,181.16,181.16,40867400
2024-02-27,181.1,183.92,179.56,182.63,182.63,54318900
2024-02-28,182.51,183.12,180.13,181.42,181.42,48953900
2024-02-29,181.27,182.57,179.53,180.75,180.75,136595200
2024-03-01,179.68,180.53,177.38,179.66,179.66,72176475
